Data_Pool,Data_Connection,Table,Size(B),Last_Updated
Takata version control test,ABeam Cloud R2M,_CEL_P2P_CASES,3870.72,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud,ABeam Cloud R2Q,_CEL_P2P_CASES,16353.28,2020-11-08 00:38:00
SAP ECC - P2P ABeam Template v1,ABeam Cloud R2M,_CEL_P2P_ACTIVITIES_BACKUP,387440.64,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud3,No info,_CEL_P2P_ACTIVITIES,12907970.56,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud3,ABeam Cloud R8D,_CEL_P2P_ACTIVITIES,12677283.84,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud4(Test),No info,_CEL_P2P_ACTIVITIES,32747028.48,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud4(Test),ABeam Cloud R2Q,_CEL_P2P_ACTIVITIES,553676.8,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud3,ABeam Cloud R2Q,_CEL_P2P_ACTIVITIES,486451.2,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud4(Test),ABeam Cloud R8D,_CEL_P2P_ACTIVITIES,30062673.92,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud,ABeam Cloud R2Q,_CEL_P2P_ACTIVITIES,410255.36,2020-11-08 00:38:00
SAP ECC - P2P ABeam Template v1,ABeam Cloud R2M,_CEL_P2P_ACTIVITIES,2139095.04,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud,No info,_CEL_P2P_ACTIVITIES,21076377.6,2020-11-08 00:38:00
SAP S/4HANA - P2P Created by ABeam Cloud,ABeam Cloud R8D,_CEL_P2P_ACTIVITIES,20227031.04,2020-11-08 00:38:00
Takata version control test,No info,_CEL_P2P_ACTIVITIES,69201.92,2020-11-08 00:38:00
Takata version control test,ABeam Cloud R2M,_CEL_P2P_ACTIVITIES,69201.92,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPP_ACTIVITIES,9922.56,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPPORTUNITY_User,7301.12,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPPORTUNITY_Task,1914.88,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPPORTUNITY_OPPortunity,5222.4,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPPORTUNITY_Lead,25487.36,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPPORTUNITY_Event,2938.88,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPPORTUNITY_Contact,5570.56,2020-11-08 00:38:00
SFDC - Lead ABeam Template v1,ABeam SFDC Development,_CEL_OPPORTUNITY_Account,580577.28,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,_CEL_O2C_VBRP_ACTIVITIES_BACKUP,0.0,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,_CEL_O2C_VBRP_ACTIVITIES,9311354.88,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,_CEL_O2C_VBRP_ACTIVITIES,1384120.32,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,No info,_CEL_O2C_VBRP_ACTIVITIES,9395240.96,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,_CEL_O2C_VBRP_ACTIVITIES,257771.52,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,_CEL_O2C_VBAP_ACTIVITIES_BACKUP,987555.84,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,_CEL_O2C_VBAP_ACTIVITIES,26885488.64,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,_CEL_O2C_VBAP_ACTIVITIES,610621.44,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,No info,_CEL_O2C_VBAP_ACTIVITIES,27315404.8,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,_CEL_O2C_VBAP_ACTIVITIES,2799697.92,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,_CEL_O2C_TABLE_COUNT,671.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,_CEL_O2C_PO_HISTORY,6113.28,2020-11-08 00:38:00
